property_title,location,number_of_rooms,price,size,property_type,property_type_encoded,location_clean,location_encoded,number_of_rooms_clean,price_clean
prime corner shop for rent in muscat hills - ppc109,"Muscat Hills, Muscat•",,"OMR 1,410",141.0,shop,11,muscat hills,52,3.142857142857143,1410.0
brand new 97 sqm corner shop for rent in al ansab – ppc139,"Ansab, Muscat•",,OMR 650,97.0,shop,11,al ansab,2,3.142857142857143,650.0
"office for rent - al teif building, bousher – ppc134","Bosher, Muscat•",,OMR 250,40.0,commercial,2,bosher,32,1.7682119205298013,250.0
premium office spaces for rent in madinat sultan qaboos ppc19,"Madinat As Sultan Qaboos, Muscat•",,OMR 448,64.0,commercial,2,madinat sultan qaboos,44,1.7682119205298013,448.0
prime commercial spaces for rent in madinat sultan qaboos ppc18,"Madinat As Sultan Qaboos, Muscat•",,"OMR 1,079",83.0,commercial,2,madinat sultan qaboos,44,1.7682119205298013,1079.0
prime office spaces for rent in shatti qurum ppc01,"Qurum, Muscat•",,OMR 330,45.0,commercial,2,qurum,58,1.7682119205298013,330.0
prime commercial space for rent in muscat hills ppc72,"Muscat Hills, Muscat•",,"OMR 1,300",100.0,commercial,2,muscat hills,52,1.7682119205298013,1300.0
3 plus 1 bhk brand new villa with private pool in al muna ppv283,"Bosher, Muscat•",4,OMR 950,280.0,villa,13,bosher,32,4.0,950.0
7bhk commercial villa in mawaleh south mazoon road ppc03,"Al Mawaleh, Muscat•",7,"OMR 1,200",537.5,villa,13,al mawaleh,15,6.0,1200.0
luxury 5 plus 1 bhk villa for rent in al khoud – ppv279,"Al Khoud, Muscat•",5,OMR 450,450.0,villa,13,al khoud,12,5.0,450.0
brand new 5+1bhk luxury twin villa for rent in madinat qaboos ppv272,"Madinat As Sultan Qaboos, Muscat•",5,"OMR 2,000",537.5,villa,13,madinat sultan qaboos,44,5.0,2000.0
"luxury 4+1bhk villa for rent in sarooj st. , shatti al qurum ppv259","Qurum, Muscat•",4,"OMR 1,200",520.0,villa,13,qurum,58,4.0,1200.0
amazing modern 3+1bhk villa for rent in qurum heights ppv86,"Qurum, Muscat•",3,"OMR 1,200",385.0,villa,13,qurum,58,3.0,1200.0
luxury 5bhk villa for rent – muscat bay – ppv278,"Barr Al Jissah, Muscat•",5,"OMR 1,800",500.0,villa,13,barr al jissah,29,5.0,1800.0
spacious 5bhk compound villa for rent in al khoud 6 – ppv275,"Al Khoud, Muscat•",5,OMR 450,350.0,villa,13,al khoud,12,5.0,450.0
bausher 3bhk al muna villa for rent behind dolphin village ppv75,"Bosher, Muscat•",3,OMR 600,400.0,villa,13,bosher,32,3.0,600.0
brand new 4+1bhk luxury villa with private pool in muscat bay – ppv274,"Barr Al Jissah, Muscat•",4,"OMR 1,750",537.5,villa,13,barr al jissah,29,4.0,1750.0
6+1 bhk spacious villa for rent in ghubra ppv249,"Al Ghubrah, Muscat•",6,"OMR 1,200",515.0,villa,13,al ghubrah,7,6.0,1200.0
4+1bhk villa izz complex for rent in madinat al ilam ppv84,"Madinat As Sultan Qaboos, Muscat•",4,OMR 650,450.0,villa,13,madinat sultan qaboos,44,4.0,650.0
5bhk fully furnished luxury villa rent in al mouj near beach– ppv277,"Muscat - Other, Muscat•",5,"OMR 4,500",537.5,villa,13,muscat,50,5.0,4500.0
luxury 5+1 bhk villa in a complex for rent madinat ilam  ppv06,"Madinat As Sultan Qaboos, Muscat•",5,"OMR 1,600",450.0,villa,13,madinat sultan qaboos,44,5.0,1600.0
spacious 6+1 bhk villa for rent in shatti qurum ppv199,"Qurum, Muscat•",7,OMR 800,500.0,villa,13,qurum,58,6.0,800.0
fully furnished 2bhk for rent muscat hills ppa253,"Muscat Hills, Muscat•",2,OMR 650,120.0,room,9,muscat hills,52,2.0,650.0
3 bhk fully furnished apartment for rent in tilal al qurm ppa406,"Qurum, Muscat•",3,OMR 400,140.0,apartment,0,qurum,58,3.0,400.0
luxury apartment 3+1bhk for rent in salam gardens mq ppa154,"Madinat As Sultan Qaboos, Muscat•",3,OMR 850,275.0,apartment,0,madinat sultan qaboos,44,3.0,850.0
beautiful 2 br apartment available for rent in al mouj,"The Wave (Almouj), Muscat•",2,OMR 700,120.0,apartment,0,the wave,76,2.0,700.0
commercial-use villa in one of the best locations in al khuwair south,"Al Khuwair, Muscat•",6,"OMR 1,100",537.5,villa,13,al khuwair,13,6.0,1100.0
luxurious brand-new 5+1 br villa available for rent in madinat al-il,"Madinat As Sultan Qaboos, Muscat•",6,"OMR 1,300",500.0,villa,13,madinat sultan qaboos,44,6.0,1300.0
office for rent in al khuwair,"Al Khuwair, Muscat•",,OMR 600,190.0,commercial,2,al khuwair,13,1.7682119205298013,600.0
for rent luxury villa! located in madinat al illam,"Madinat As Sultan Qaboos, Muscat•",5,OMR 700,300.0,villa,13,madinat sultan qaboos,44,5.0,700.0
for rent – luxurious & unique villa in al mouj,"The Wave (Almouj), Muscat•",5,"OMR 1,900",537.5,villa,13,the wave,76,5.0,1900.0
brand-new 3 br villas available for rent,"Bosher, Muscat•",3,OMR 700,299.0,villa,13,bosher,32,3.0,700.0
beautiful 4 br compound villa available for rent in al qurum,"Qurum, Muscat•",4,"OMR 1,800",500.0,villa,13,qurum,58,4.0,1800.0
محلات للايجار في بازار صحار على الشارع العام وقريب جسر صحار,"Al Khoud, Muscat•",,OMR 300,20.0,shop,11,al khoud,12,3.142857142857143,300.0
brand new fully furnished 2bhk front view in muscat hills – ppa397,"Muscat Hills, Muscat•",2,OMR 550,115.0,room,9,muscat hills,52,2.0,550.0
luxury 3+1bhk apartment for rent in madinat sultan qaboos ppa98,"Madinat As Sultan Qaboos, Muscat•",3,OMR 800,195.0,apartment,0,madinat sultan qaboos,44,3.0,800.0
2+1 bhk apartment with sea view for rent – muscat bay ppa376,"Barr Al Jissah, Muscat•",2,OMR 800,200.0,apartment,0,barr al jissah,29,2.0,800.0
new 2bhk duplex apartment for rent azaiba near tamarah building ppa398,"Azaiba, Muscat•",2,OMR 400,115.0,apartment,0,azaiba,26,2.0,400.0
luxury 2+1bhk duplex apartment for rent in madinat qaboos ppa99,"Madinat As Sultan Qaboos, Muscat•",2,OMR 700,170.0,apartment,0,madinat sultan qaboos,44,2.0,700.0
exceptional 2+1 bhk apartment for rent in muscat bay – zaha ppa374,"Barr Al Jissah, Muscat•",2,OMR 700,115.0,apartment,0,barr al jissah,29,2.0,700.0
2bhk apartment for rent in qurum near pdo ppa280,"Qurum, Muscat•",2,OMR 250,95.0,apartment,0,qurum,58,2.0,250.0
brand new fully furnished 2bhk penthouse in muscat hills – ppa395,"Muscat Hills, Muscat•",2,OMR 550,120.0,apartment,0,muscat hills,52,2.0,550.0
فيلا كورنر موقع حيوي فالخوض,"Al Khoud, Muscat•",4,OMR 380,250.0,villa,13,al khoud,12,4.0,380.0
شقتان راقيتان للإيجار في الحيل الشمالية | two elegant apartments for r,"Al Hail, Muscat•",3,OMR 275,130.0,apartment,0,al hail,8,3.0,275.0
محل تجاري للبيع في بوشر اعلان رقم 138,"Bosher, Muscat•",,"OMR 85,000",204.0,shop,11,bosher,32,3.142857142857143,85000.0
محلات للإيجار في السيب جانب العريمي بوليفارد,"Al Khoud, Muscat•",,OMR 13,35.0,shop,11,al khoud,12,3.142857142857143,13.0
فيلا فاخرة للإيجار – موقع مميز على شارع الخوض | luxurious villa for re,"Al Khoud, Muscat•",7,OMR 900,330.0,villa,13,al khoud,12,6.0,900.0
modern 2bhk apartment with amenities in muscat hills ppa363,"Muscat Hills, Muscat•",2,OMR 425,122.0,apartment,0,muscat hills,52,2.0,425.0
affordable 1 bhk for rent in prime al khuwair,"Al Khuwair, Muscat•",1,OMR 190,70.0,room,9,al khuwair,13,1.0,190.0
"stunning 1-bedroom apartment for rent in liwan, muscat","The Wave (Almouj), Muscat•",1,OMR 650,114.0,apartment,0,the wave,76,1.0,650.0
3bhk apartment for rent in al khuwair 33 mpa27,"Al Khuwair, Muscat•",3,OMR 250,140.0,apartment,0,al khuwair,13,3.0,250.0
rooms for rent in north al mawaleh-غرف للايجار ف الموالح الشمالية,"Al Mawaleh, Muscat•",1,OMR 140,50.0,rooms,10,al mawaleh,15,1.0,140.0
for rent: spacious town houses located close to the marina,"The Wave (Almouj), Muscat•",2,OMR 750,109.0,room,9,the wave,76,2.0,750.0
4me35 - cozy 5 bhk villa for rent in ansab,"Ansab, Muscat•",4,OMR 500,400.0,villa,13,al ansab,2,4.0,500.0
for rent fully furnished office in al khuwair,"Al Khuwair, Muscat•",,OMR 650,80.0,commercial,2,al khuwair,13,1.7682119205298013,650.0
for rent open space in qurum 29 (commercial use),"Qurum, Muscat•",,"OMR 2,000",336.0,commercial,2,qurum,58,1.7682119205298013,2000.0
for rent fully furnished commercial office in al gubarah,"Al Ghubrah, Muscat•",,"OMR 1,900",350.0,commercial,2,al ghubrah,7,1.7682119205298013,1900.0
4me25 - 5 bhk spacious villa for rent in ansab height,"Ansab, Muscat•",5,OMR 500,450.0,villa,13,al ansab,2,5.0,500.0
for rent 4 bhk villa in qurum ( sarouj ),"Qurum, Muscat•",4,"OMR 1,200",10.0,villa,13,qurum,58,4.0,1200.0
for rent 5 bhk +1 villa in al allam city,"Madinat As Sultan Qaboos, Muscat•",5,"OMR 1,400",10.0,villa,13,madinat sultan qaboos,44,5.0,1400.0
for rent 4 bhk villa in al qurum,"Qurum, Muscat•",4,OMR 650,10.0,villa,13,qurum,58,4.0,650.0
4me7 brand new 3bhk villa for rent in ansab heights,"Ansab, Muscat•",3,OMR 500,350.0,villa,13,al ansab,2,3.0,500.0
6me55 - nice 2 bhk apartment for rent in qurum,"Qurum, Muscat•",2,OMR 325,150.0,apartment,0,qurum,58,2.0,325.0
6me48- nice 4 bhk villa for rent in qurum,"Qurum, Muscat•",4,OMR 500,400.0,villa,13,qurum,58,4.0,500.0
6me42 - modern 2 bhk apartment for rent in qurum,"Qurum, Muscat•",2,OMR 400,100.0,apartment,0,qurum,58,2.0,400.0
6me3 - luxury 1 bhk flat for rent in qurum-beach str.,"Qurum, Muscat•",1,OMR 350,100.0,flat,4,qurum,58,1.0,350.0
6me2 - luxury 2 bhk flat for rent in qurum-beach str.,"Qurum, Muscat•",2,OMR 450,150.0,flat,4,qurum,58,2.0,450.0
6me9 - modern style 4 bhk townhouse villas for rent in qurum,"Qurum, Muscat•",4,"OMR 1,200",450.0,villa,13,qurum,58,4.0,1200.0
6me34 - beautiful 4bhk villa for rent in qurum fuhud strt,"Qurum, Muscat•",4,OMR 800,400.0,villa,13,qurum,58,4.0,800.0
charming 1 bhk apartment in al khuwair!,"Al Khuwair, Muscat•",1,OMR 225,120.0,apartment,0,al khuwair,13,1.0,225.0
shops in al khoudh main street next to high brand cafes and restaurant,"Al Khoud, Muscat•",,"OMR 1,000",120.0,shop,11,al khoud,12,3.142857142857143,1000.0
fully furnished office space for one person at muscat hills,"Muscat - Other, Muscat•",,OMR 209,10.0,commercial,2,muscat,50,1.7682119205298013,209.0
fully furnished office space for two persons in muscat hills,"Muscat Hills, Muscat•",,OMR 299,10.0,commercial,2,muscat hills,52,1.7682119205298013,299.0
"office membership available in muscat, al mawaleh","Qurum, Muscat•",,OMR 109,10.0,commercial,2,qurum,58,1.7682119205298013,109.0
"private office space for 1 person in muscat, hormuz grand","Muscat Hills, Muscat•",,OMR 225,10.0,commercial,2,muscat hills,52,1.7682119205298013,225.0
"ready-to-move in office space for 2  people at muscat, al khuwair","Al Khuwair, Muscat•",,OMR 250,120.0,commercial,2,al khuwair,13,1.7682119205298013,250.0
"private office space for 3 persons in muscat, roola district","Ghala, Muscat•",,OMR 385,15.0,commercial,2,ghala,34,1.7682119205298013,385.0
"find office space in muscat, roola district for 2 persons","Ghala, Muscat•",,OMR 281,10.0,commercial,2,ghala,34,1.7682119205298013,281.0
"private office space for 5 persons in sohar, sohar city centre","Sohar, Al Batinah•",,OMR 555,30.0,commercial,2,sohar,70,1.7682119205298013,555.0
6me10 - modern style four-bedrooms villas for rent in shatti qurum,"Qurum, Muscat•",4,OMR 700,400.0,rooms,10,qurum,58,4.0,700.0
6me19 - commercial spaces for rent strategic location btw qurum & mq,"Qurum, Muscat•",,"OMR 1,200",200.0,commercial,2,qurum,58,1.7682119205298013,1200.0
6me4 - luxury 1bhk flats for rent in qurum complex facing qurom park.,"Qurum, Muscat•",1,OMR 350,150.0,flat,4,qurum,58,1.0,350.0
6me1 - fabulous offices for rent in qurum near grand hyatt,"Qurum, Muscat•",,"OMR 1,819",214.0,commercial,2,qurum,58,1.7682119205298013,1819.0
me7 - 6bhk commercial villa located in a prime location in khuwair,"Al Khuwair, Muscat•",,OMR 700,500.0,villa,13,al khuwair,13,4.5076726342711,700.0
3me40 - beautiful 4+1bhk villa for rent in mq,"Madinat As Sultan Qaboos, Muscat•",4,OMR 900,450.0,villa,13,madinat sultan qaboos,44,4.0,900.0
3me3 - luxurious 5bhk villa for rent in madinat s. qabous near british,"Madinat As Sultan Qaboos, Muscat•",5,"OMR 1,000",450.0,villa,13,madinat sultan qaboos,44,5.0,1000.0
3me36 - peaceful 4bhk compound villa for rent in al ilam city,"Madinat As Sultan Qaboos, Muscat•",4,OMR 650,350.0,villa,13,madinat sultan qaboos,44,4.0,650.0
3me45 - well located commercial villa for rent in mq,"Madinat As Sultan Qaboos, Muscat•",,"OMR 1,000",400.0,villa,13,madinat sultan qaboos,44,4.5076726342711,1000.0
3me5 - beautiful 4 bhk villa for rent in illam city,"Madinat As Sultan Qaboos, Muscat•",4,OMR 700,400.0,villa,13,madinat sultan qaboos,44,4.0,700.0
3me37 - luxurious 5+1 bhk villa for rent in al ilam city,"Madinat As Sultan Qaboos, Muscat•",5,"OMR 1,400",500.0,villa,13,madinat sultan qaboos,44,5.0,1400.0
3me39 - perfect 5+1 compound villa for rent in al ilam city,"Madinat As Sultan Qaboos, Muscat•",5,"OMR 1,500",500.0,villa,13,madinat sultan qaboos,44,5.0,1500.0
3me38 - outstanding 7 bhk villa for rent in al ilam city,"Madinat As Sultan Qaboos, Muscat•",7,"OMR 2,500",537.5,villa,13,madinat sultan qaboos,44,6.0,2500.0
3me36 - luxurious 4+1bhk villa for rent in mq,"Madinat As Sultan Qaboos, Muscat•",4,OMR 850,400.0,villa,13,madinat sultan qaboos,44,4.0,850.0
"3me10 - open space offices, perfect location in mq","Madinat As Sultan Qaboos, Muscat•",,OMR 540,90.0,commercial,2,madinat sultan qaboos,44,1.7682119205298013,540.0
3me2 - european style 4bhk villa for rent in mq near souq al madinat,"Madinat As Sultan Qaboos, Muscat•",4,OMR 650,400.0,villa,13,madinat sultan qaboos,44,4.0,650.0
2me1 - 5bhk luxury villa for rent in ghobra near to 18-november street,"Al Ghubrah, Muscat•",5,OMR 900,400.0,villa,13,al ghubrah,7,5.0,900.0
5me3 - spacious 2 bhk commercial/residential for rent in bousher,"Bosher, Muscat•",2,OMR 250,150.0,room,9,bosher,32,2.0,250.0
1me62 - 2+1 bhk modern furnished flat for rent in azaiba,"Azaiba, Muscat•",2,OMR 450,150.0,flat,4,azaiba,26,2.0,450.0
1me64 - spacious 4+1 twin villa for rent in azaiba,"Azaiba, Muscat•",4,OMR 700,400.0,villa,13,azaiba,26,4.0,700.0
1me47 - amazing 5 bhk villa for rent in azaiba,"Azaiba, Muscat•",5,OMR 680,350.0,villa,13,azaiba,26,5.0,680.0
1me26 - commercial spaces for rent in azaiba,"Azaiba, Muscat•",,OMR 660,165.0,commercial,2,azaiba,26,1.7682119205298013,660.0
1me4 - sea view 4+1 bhk compund villa for rent in azaiba beach,"Azaiba, Muscat•",4,OMR 900,400.0,villa,13,azaiba,26,4.0,900.0
for rent: luxurious 6 bed villa,"The Wave (Almouj), Muscat•",6,"OMR 5,000",537.5,villa,13,the wave,76,6.0,5000.0
فيلا راقية وجديدة للايجار بالخوض-luxury new villa for rent in alkhoud,"Al Khoud, Muscat•",5,OMR 650,360.0,villa,13,al khoud,12,5.0,650.0
for rent: 2 bed sea view apartment for rent,"The Wave (Almouj), Muscat•",2,"OMR 1,100",150.0,apartment,0,the wave,76,2.0,1100.0
muscat bay | luxurious 4+1br modern waterfront villa,"Qantab, Muscat•",5,"OMR 1,749",537.5,villa,13,qantab,56,5.0,1749.0
qurm | 298 sqm furnished office in prime location,"Qurum, Muscat•",,"OMR 1,799",299.0,commercial,2,qurum,58,1.7682119205298013,1799.0
madinat qaboos | brand new luxurious 5+1br twin villas,"Madinat As Sultan Qaboos, Muscat•",6,"OMR 1,799",537.5,villa,13,madinat sultan qaboos,44,6.0,1799.0
al mouj | amazing 3+1br ghadeer courtyard villa,"The Wave (Almouj), Muscat•",4,"OMR 1,299",305.0,villa,13,the wave,76,4.0,1299.0
qurm | spacious 1400 meter commercial space in the heart of city,"Qurum, Muscat•",,"OMR 8,999",1.0,commercial,2,qurum,58,1.7682119205298013,8999.0
al mouj | quality 2 bhk pool view apartment in the gardens,"The Wave (Almouj), Muscat•",2,OMR 749,125.0,apartment,0,the wave,76,2.0,749.0
al mouj | gorgeous 2+2 bhk marina view apartment,"The Wave (Almouj), Muscat•",4,"OMR 1,199",140.0,apartment,0,the wave,76,4.0,1199.0
al mouj | marina and sea view 2 bhk apartment in juman,"The Wave (Almouj), Muscat•",2,"OMR 1,199",135.0,apartment,0,the wave,76,2.0,1199.0
فيلا للإيجار في المعبيلة الجنوبية | villa for rent in al maabela south,"Al Maabilah, Muscat•",5,OMR 330,300.0,villa,13,al maabilah,14,5.0,330.0
فيلا مميزة للإيجار في الخوض السادسة | distinctive villa for rent in al,"Al Khoud, Muscat•",5,OMR 500,450.0,villa,13,al khoud,12,5.0,500.0
"open plan office space for 15 persons in sohar, sohar city centre","Sohar, Al Batinah•",,"OMR 1,005",100.0,commercial,2,sohar,70,1.7682119205298013,1005.0
"open plan office space for 10 persons in sohar, sohar city centre","Sohar, Al Batinah•",,OMR 809,45.0,commercial,2,sohar,70,1.7682119205298013,809.0
"private office space for 4 persons in sohar, sohar city centre","Sohar, Al Batinah•",,OMR 480,20.0,commercial,2,sohar,70,1.7682119205298013,480.0
"private office space for 3 persons in sohar, sohar city centre","Sohar, Al Batinah•",,OMR 329,15.0,commercial,2,sohar,70,1.7682119205298013,329.0
"private office space for 2 persons in sohar, sohar city centre","Sohar, Al Batinah•",,OMR 196,10.0,commercial,2,sohar,70,1.7682119205298013,196.0
"fully serviced private office space in muscat, beach one","Muscat - Other, Muscat•",,OMR 249,10.0,commercial,2,muscat,50,1.7682119205298013,249.0
"furnished office space in muscat, pearl square for 4 persons","Muscat Hills, Muscat•",,OMR 429,20.0,commercial,2,muscat hills,52,1.7682119205298013,429.0
"join a professional coworking environment in muscat hill, pearl square","Muscat Hills, Muscat•",,OMR 109,10.0,room,9,muscat hills,52,2.0309110629067244,109.0
"all-inclusive access to coworking in muscat, pearl square","Muscat Hills, Muscat•",,OMR 109,10.0,room,9,muscat hills,52,2.0309110629067244,109.0
2 bhk flat for rent in al mouj meria c - ppa408,"The Wave (Almouj), Muscat•",2,OMR 600,95.0,flat,4,the wave,76,2.0,600.0
3+1 bhk  compound villa for rent in al hail - ppv286,"Al Hail, Muscat•",3,OMR 450,270.0,villa,13,al hail,8,3.0,450.0
fully furnished studio (room + bathroom + kitchen) in al khuwair 33,"Al Khuwair, Muscat•",Studio,OMR 180,6.0,room,9,al khuwair,13,2.0309110629067244,180.0
for rent 4 bhk villa in al ansab heights,"Ansab, Muscat•",4,OMR 500,10.0,villa,13,al ansab,2,4.0,500.0
muscat hills | modern 4+1 br villa with private pool & golf view,"Muscat Hills, Muscat•",5,"OMR 1,250",400.0,villa,13,muscat hills,52,5.0,1250.0
madinat qaboos | beautiful 4+1 br villa for rent,"Madinat As Sultan Qaboos, Muscat•",5,OMR 799,435.0,villa,13,madinat sultan qaboos,44,5.0,799.0
we have offices available for rent in prime locations in bousher,"Bosher, Muscat•",,OMR 450,107.0,commercial,2,bosher,32,1.7682119205298013,450.0
al mouj | stunning 1 bhk apartment in a great location for rent,"The Wave (Almouj), Muscat•",1,OMR 499,91.0,apartment,0,the wave,76,1.0,499.0
madinat qaboos | modern 4+1 luxurious villa with private pool for rent,"Madinat As Sultan Qaboos, Muscat•",5,"OMR 1,549",415.0,villa,13,madinat sultan qaboos,44,5.0,1549.0
for rent fully furnished 1 bhk flat  in muscat hills pearl building,"Muscat Hills, Muscat•",1,OMR 370,10.0,flat,4,muscat hills,52,1.0,370.0
luxury flat with swimming pool view,"Muscat Hills, Muscat•",1,OMR 370,80.0,flat,4,muscat hills,52,1.0,370.0
al mouj | 1 bhk apartment in a great location,"The Wave (Almouj), Muscat•",1,OMR 500,92.0,apartment,0,the wave,76,1.0,500.0
luxury furnished flat in blv muscat hills,"Muscat Hills, Muscat•",1,OMR 400,100.0,flat,4,muscat hills,52,1.0,400.0
luxury pent house flat in almouj,"The Wave (Almouj), Muscat•",2,OMR 670,150.0,flat,4,the wave,76,2.0,670.0
luxury flat with full marina view,"The Wave (Almouj), Muscat•",2,"OMR 1,300",150.0,flat,4,the wave,76,2.0,1300.0
prime location – 2 & 3 bhk apartments on al khuwair service road,"Al Khuwair, Muscat•",3,OMR 300,120.0,apartment,0,al khuwair,13,3.0,300.0
5 br spacious villa in mabelah with small play area,"Al Maabilah, Muscat•",5,OMR 500,467.0,villa,13,al maabilah,14,5.0,500.0
beautiful 4 br compound villa available for rent in al qurum,"Qurum, Muscat•",4,"OMR 1,750",400.0,villa,13,qurum,58,4.0,1750.0
1 bedroom furnished apartment for rent in dolphin village,"Bosher, Muscat•",1,OMR 600,102.0,apartment,0,bosher,32,1.0,600.0
cozy 3 bedroom villa for rent in qurum,"Qurum, Muscat•",3,OMR 525,300.0,room,9,qurum,58,3.0,525.0
new 2 bedroom apartment for rent in al mouj,"The Wave (Almouj), Muscat•",2,"OMR 1,200",146.0,apartment,0,the wave,76,2.0,1200.0
brand new 2 bedroom apartment for rent with marina view,"The Wave (Almouj), Muscat•",2,"OMR 1,150",144.0,apartment,0,the wave,76,2.0,1150.0
brand new 2bhk apartment for rent with large balcony,"The Wave (Almouj), Muscat•",2,"OMR 1,250",236.0,apartment,0,the wave,76,2.0,1250.0
"beautiful 2 bhk furnished apartment for rent – liwan building, al mouj","The Wave (Almouj), Muscat•",2,OMR 650,120.0,apartment,0,the wave,76,2.0,650.0
fully furnished 2 bhk apartment,"Al Ghubrah, Muscat•",2,OMR 400,105.0,apartment,0,al ghubrah,7,2.0,400.0
bosher | brand-new villa with pool,"Bosher, Muscat•",3,OMR 850,300.0,villa,13,bosher,32,3.0,850.0
al khuwair | well maintained 2 bhk flat,"Al Khuwair, Muscat•",2,OMR 280,105.0,flat,4,al khuwair,13,2.0,280.0
mq | brand new luxurious villas,"Madinat As Sultan Qaboos, Muscat•",5,"OMR 1,700",300.0,villa,13,madinat sultan qaboos,44,5.0,1700.0
beautiful 3+1 br duplex apartment available for rent in madinat al sul,"Madinat As Sultan Qaboos, Muscat•",4,OMR 850,120.0,apartment,0,madinat sultan qaboos,44,4.0,850.0
5 br + 1 maid’s room well maintained villa in qurum with balconies,"Qurum, Muscat•",6,"OMR 1,200",501.0,room,9,qurum,58,6.0,1200.0
"شقة فاخرة بالموج ف جومان 2-luxury apartment in al mouj, juman 2","The Wave (Almouj), Muscat•",1,OMR 650,70.0,apartment,0,the wave,76,1.0,650.0
villa for rent in sultan qaboos city,"Madinat As Sultan Qaboos, Muscat•",6,OMR 730,400.0,villa,13,madinat sultan qaboos,44,6.0,730.0
ghala | 2200 sqm warehouse in prime location for rent,"Ghala, Muscat•",,"OMR 4,840",2.0,warehouse,14,ghala,34,6.0,4840.0
فيلا للإيجار في الموالح الجنوبية | villa for rent in south al mawaleh,"Al Mawaleh, Muscat•",5,OMR 600,400.0,villa,13,al mawaleh,15,5.0,600.0
"""sr-da-540 offices for rent in al khoudh mazoon square""","Al Khoud, Muscat•",,OMR 150,90.0,commercial,2,al khoud,12,1.7682119205298013,150.0
"""sr-mr-787 open commercial space for rent in mazzoun street, al khoud7","Al Khoud, Muscat•",,OMR 750,150.0,commercial,2,al khoud,12,1.7682119205298013,750.0
fully serviced office space for you and your team at qurum,"Qurum, Muscat•",,OMR 299,60.0,commercial,2,qurum,58,1.7682119205298013,299.0
furnished office space for 6 persons in mawaleh,"Al Mawaleh, Muscat•",,OMR 519,75.0,commercial,2,al mawaleh,15,1.7682119205298013,519.0
"coworking space in muscat, shatti al qurum","Qurum, Muscat•",,OMR 130,10.0,commercial,2,qurum,58,1.7682119205298013,130.0
"work in muscat, al khuwair  or anywhere else in our global network","Al Khuwair, Muscat•",,OMR 89,10.0,room,9,al khuwair,13,2.0309110629067244,89.0
fully serviced private office spaces for rent - al khuwair !!,"Al Khuwair, Muscat•",,OMR 225,10.0,commercial,2,al khuwair,13,1.7682119205298013,225.0
"open plan office space for 15 persons in muscat, roola district","Ghala, Muscat•",,"OMR 1,243",100.0,commercial,2,ghala,34,1.7682119205298013,1243.0
"open plan office space for 10 persons in muscat, roola district","Ghala, Muscat•",,OMR 997,45.0,commercial,2,ghala,34,1.7682119205298013,997.0
"private office space for 5 persons in muscat, roola district","Ghala, Muscat•",,OMR 716,30.0,commercial,2,ghala,34,1.7682119205298013,716.0
"private office space for 4 persons in muscat, roola district","Ghala, Muscat•",,OMR 527,20.0,commercial,2,ghala,34,1.7682119205298013,527.0
sr-om-840 commercial shops in al ansab for rent,"Ansab, Muscat•",,OMR 540,30.0,shop,11,al ansab,2,3.142857142857143,540.0
sr-kb-751 brand new hight quality villa to let in mawaleh 11 ( compoun,"Al Mawaleh, Muscat•",4,OMR 650,350.0,villa,13,al mawaleh,15,4.0,650.0
sr-ah-808 attached villa in a complex in alhail south .,"Al Hail, Muscat•",4,OMR 400,280.0,villa,13,al hail,8,4.0,400.0
sr-ah-834villa for rent in al ansab /فيلا للايجار في الانصب.,"Ansab, Muscat•",5,OMR 700,350.0,villa,13,al ansab,2,5.0,700.0
""" sr-mv-383  villa to let in al ansab  new villa good quality","Ansab, Muscat•",6,"OMR 1,000",537.5,villa,13,al ansab,2,6.0,1000.0
sr-om-839 open spaces for rent in a almawaleh مكتب للايجار في الموالح,"Al Mawaleh, Muscat•",,OMR 400,85.0,commercial,2,al mawaleh,15,1.7682119205298013,400.0
sr--kr-909 showroom for rent in mawaleh north/معرض للايجار في الموالح,"Al Mawaleh, Muscat•",,"OMR 4,840",440.0,room,9,al mawaleh,15,2.0309110629067244,4840.0
sr--hr-925 flat for rent in mawaleh north شقة للايجار في الموالح,"Al Mawaleh, Muscat•",2,OMR 260,170.0,flat,4,al mawaleh,15,2.0,260.0
"""sr-od-385   offices to let located ozaiba near hight way  spaces","Azaiba, Muscat•",,OMR 175,175.0,commercial,2,azaiba,26,1.7682119205298013,175.0
"""sr-sa-704 “premium office spaces available in azaiba !","Azaiba, Muscat•",,OMR 400,100.0,commercial,2,azaiba,26,1.7682119205298013,400.0
office space for rent – al khuwair,"Al Khuwair, Muscat•",,OMR 600,121.0,commercial,2,al khuwair,13,1.7682119205298013,600.0
sr-sh-866 fully furnished office for rent azaiba /مكتب مفروشه بالعذيبة,"Azaiba, Muscat•",,OMR 325,100.0,commercial,2,azaiba,26,1.7682119205298013,325.0
1 br compact apartment – muscat hills with shared pool/gym,"Muscat Hills, Muscat•",1,OMR 330,63.0,apartment,0,muscat hills,52,1.0,330.0
2 br furnished modern apartment in ghubra,"Al Ghubrah, Muscat•",2,OMR 500,109.0,apartment,0,al ghubrah,7,2.0,500.0
1bhk apartment  for rent in al khuwair – bab touma bldg. mpa16,"Al Khuwair, Muscat•",1,OMR 200,85.0,apartment,0,al khuwair,13,1.0,200.0
sr--ma-921 flat for rent  in al azaiba/ شقة للايجار بالعذيبة,"Azaiba, Muscat•",1,OMR 325,90.0,flat,4,azaiba,26,1.0,325.0
