property_title,location,number_of_rooms,price,size,property_type,property_type_encoded,location_clean,location_encoded,number_of_rooms_clean,price_clean,size_per_room,log_size,log_rooms,size_squared,rooms_squared,size_x_rooms
384,3,8,415,128.5663047808765,0,0,2,2,2.0,300.0,64.28283097628336,4.864192756139163,1.0986122886681098,16529.294725009226,4.0,257.132609561753
384,88,8,431,128.5663047808765,0,0,68,68,2.0,500.0,64.28283097628336,4.864192756139163,1.0986122886681098,16529.294725009226,4.0,257.132609561753
632,58,15,389,142.29293422404933,9,9,43,43,4.0,1500.0,35.57314462315078,4.964891026040306,1.6094379124341003,20247.27913008963,16.0,569.1717368961973
1343,45,14,422,79.62848484848485,11,11,34,34,6.0,370.0,13.271392022427438,4.389851997108797,1.9459101490553132,6340.69559926538,36.0,477.7709090909091
1336,39,8,425,128.6710243902439,2,2,32,32,2.0,4.0,64.33519051916936,4.865000661508334,1.0986122886681098,16556.23251763474,4.0,257.3420487804878
382,78,9,437,142.29293422404933,9,9,60,60,2.0309110629067244,650.0,70.06325200074234,4.964891026040306,1.108863255153159,20247.27913008963,4.124599745436921,288.98429428908065
1350,88,33,435,128.6710243902439,2,2,68,68,1.7682119205298013,6.0,72.76859476535107,4.865000661508334,1.018201595709832,16556.23251763474,3.126573395903688,227.51763915361008
724,39,23,383,142.29293422404933,9,9,32,32,6.0,1000.0,23.71544951159237,4.964891026040306,1.9459101490553132,20247.27913008963,36.0,853.757605344296
690,3,18,443,142.29293422404933,9,9,2,2,5.0,750.0,28.458529927750014,4.964891026040306,1.791759469228055,20247.27913008963,25.0,711.4646711202466
2513,17,33,440,128.6710243902439,2,2,13,13,1.7682119205298013,7.0,72.76859476535107,4.865000661508334,1.018201595709832,16556.23251763474,3.126573395903688,227.51763915361008
1350,34,30,402,128.6710243902439,2,2,26,26,1.7682119205298013,2200.0,72.76859476535107,4.865000661508334,1.018201595709832,16556.23251763474,3.126573395903688,227.51763915361008
384,55,8,399,128.5663047808765,0,0,14,14,2.0,180.0,64.28283097628336,4.864192756139163,1.0986122886681098,16529.294725009226,4.0,257.132609561753
540,17,11,413,128.5663047808765,0,0,13,13,3.0,280.0,42.85529207598525,4.864192756139163,1.3862943611198906,16529.294725009226,9.0,385.69891434262945
40,8,1,410,128.5663047808765,0,0,7,7,1.0,250.0,128.5650191306852,4.864192756139163,0.6931471805599453,16529.294725009226,1.0,128.5663047808765
642,58,15,444,142.29293422404933,9,9,43,43,4.0,800.0,35.57314462315078,4.964891026040306,1.6094379124341003,20247.27913008963,16.0,569.1717368961973
540,43,11,427,128.5663047808765,0,0,33,33,3.0,400.0,42.85529207598525,4.864192756139163,1.3862943611198906,16529.294725009226,9.0,385.69891434262945
380,8,8,433,128.5663047808765,0,0,7,7,2.0,550.0,64.28283097628336,4.864192756139163,1.0986122886681098,16529.294725009226,4.0,257.132609561753
700,58,18,393,142.29293422404933,9,9,43,43,5.0,1800.0,28.458529927750014,4.964891026040306,1.791759469228055,20247.27913008963,25.0,711.4646711202466
764,21,24,438,142.29293422404933,9,9,15,15,6.0,675.0,23.71544951159237,4.964891026040306,1.9459101490553132,20247.27913008963,36.0,853.757605344296
697,56,18,446,142.29293422404933,9,9,42,42,5.0,900.0,28.458529927750014,4.964891026040306,1.791759469228055,20247.27913008963,25.0,711.4646711202466
2292,66,21,435,128.6710243902439,2,2,52,52,6.0,6.0,21.445134989815667,4.865000661508334,1.9459101490553132,16556.23251763474,36.0,772.0261463414633
541,97,11,384,142.29293422404933,9,9,76,76,3.0,1100.0,47.43081997194987,4.964891026040306,1.3862943611198906,20247.27913008963,9.0,426.878802672148
698,66,18,404,142.29293422404933,9,9,52,52,5.0,2500.0,28.458529927750014,4.964891026040306,1.791759469228055,20247.27913008963,25.0,711.4646711202466
700,3,18,442,142.29293422404933,9,9,2,2,5.0,700.0,28.458529927750014,4.964891026040306,1.791759469228055,20247.27913008963,25.0,711.4646711202466
384,8,8,436,128.5663047808765,0,0,7,7,2.0,600.0,64.28283097628336,4.864192756139163,1.0986122886681098,16529.294725009226,4.0,257.132609561753
384,66,8,428,128.5663047808765,0,0,52,52,2.0,450.0,64.28283097628336,4.864192756139163,1.0986122886681098,16529.294725009226,4.0,257.132609561753
384,21,8,412,128.5663047808765,0,0,15,15,2.0,275.0,64.28283097628336,4.864192756139163,1.0986122886681098,16529.294725009226,4.0,257.132609561753
642,21,15,434,142.29293422404933,9,9,15,15,4.0,560.0,35.57314462315078,4.964891026040306,1.6094379124341003,20247.27913008963,16.0,569.1717368961973
542,21,11,434,142.29293422404933,9,9,15,15,3.0,560.0,47.43081997194987,4.964891026040306,1.3862943611198906,20247.27913008963,9.0,426.878802672148
131,66,1,423,128.5663047808765,0,0,52,52,1.0,375.0,128.5650191306852,4.864192756139163,0.6931471805599453,16529.294725009226,1.0,128.5663047808765
727,75,23,386,142.29293422404933,9,9,58,58,6.0,1300.0,23.71544951159237,4.964891026040306,1.9459101490553132,20247.27913008963,36.0,853.757605344296
729,17,23,433,128.5663047808765,0,0,13,13,6.0,550.0,21.4276817506765,4.864192756139163,1.9459101490553132,16529.294725009226,36.0,771.3978286852589
630,88,15,442,142.29293422404933,9,9,68,68,4.0,700.0,35.57314462315078,4.964891026040306,1.6094379124341003,20247.27913008963,16.0,569.1717368961973
638,88,15,383,355.98643304130167,13,13,68,68,4.0,1000.0,88.996385769361,5.877697778372089,1.6094379124341003,126726.34050946916,16.0,1423.9457321652067
